550 Madison Ave	New York	NY
133 Greene Street	New York	NY
1290 Third Avenue	New York	NY
1117 Lexington Ave.	New York	NY
1128 Third Avenue	New York	NY
1449 Second Avenue	New York	NY
1445 First Avenue	New York	NY
1559 2nd Avenue	New York	NY
267-275 Columbus Ave	New York	NY
152 - 154 Columbus Avenue	New York	NY
338 Columbus Avenue	New York	NY
116 E. 57th Street	New York	NY
725 5th Avenue	New York	NY
142 W. 57th Street	New York	NY
1488 Third Avenue	New York	NY
1380 Sixth Avenue	New York	NY
120 W. 56th Street	New York	NY
1841 Broadway	New York	NY
4 Columbus Circle	New York	NY
120 EAST 87TH ST	New York	NY
2045 Broadway	New York	NY
1102 1st Ave	New York	NY
870 7th Avenue	New York	NY
444 Columbus Avenue	New York	NY
1100 Avenue of the Americas	New York	NY
1345 6th Ave	New York	NY
322 West 57th Street	New York	NY
2 Columbus Avenue	New York	NY
1320 Avenue of the Americas	New York	NY
1710 Broadway	New York	NY
2140 Broadway	New York	NY
1631 1st Ave	New York	NY
599 Lexington Ave	New York	NY
